NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
68,2019-11-21 21:55:00,15.019143,0.0,97.62299999999999,188.94,0.0,340.50199999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-21 23:40:00,15.019143,0.0,97.62299999999999,189.012,0.0,14.252,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 01:20:00,15.019143,0.0,97.62200000000001,189.081,0.0,29.252,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 03:03:00,15.019143,0.0,97.62200000000001,189.15099999999998,0.0,55.501999999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 05:58:00,15.019143,0.0,97.62200000000001,189.271,0.0,351.75199999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 07:02:00,15.019143,0.0,97.62200000000001,189.315,0.0,231.752,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 09:08:00,15.019143,0.0,97.62200000000001,189.40099999999998,0.0,344.25199999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 11:59:00,15.019143,0.0,97.62200000000001,189.518,0.0,265.502,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 13:34:00,15.019143,0.0,97.62200000000001,189.583,0.0,261.752,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 15:30:00,15.019143,0.0,97.62100000000001,189.662,0.0,336.75199999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 17:27:00,15.019143,0.0,97.62100000000001,189.743,0.0,55.501999999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 19:07:00,15.019143,0.0,97.62100000000001,189.81099999999998,0.0,70.502,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 21:20:00,15.019143,0.0,97.62100000000001,189.90200000000002,0.0,209.252,6939.130783,95.87799999999999,560.993783,560.993783
